Test Name,Latest Run Time,Average Run Time
Test 1,193,60
Test 2,79,15
Test 3,57,
Test 4,192,57
Test 5,49,217
Test 6,119,154
Test 7,150,111
Test 8,70,120
Test 9,81,224
Test 10,161,82
Test 11,72,205
Test 12,120,176
Test 13,138,4
Test 14,25,74
Test 15,113,74
Test 16,246,208
Test 17,,236
Test 18,165,215
Test 19,246,116
Test 20,49,180
Test 21,93,195
Test 22,168,104
Test 23,95,170
Test 24,198,25
Test 25,113,60
Test 26,153,249
Test 27,41,56
Test 28,116,129
Test 29,182,164
Test 30,222,146
Test 31,243,228
Test 32,53,34
Test 33,10,215
Test 34,161,133
Test 35,138,153
Test 36,107,133
Test 37,83,42
Test 38,21,134
Test 39,234,124
Test 40,132,147
